customerID,tenure,Contract,InternetService,MonthlyCharges,churn_probability,risk_tier
5150-ITWWB,3,Month-to-month,Fiber optic,94.85,78.9,🔴 High risk
6350-XFYGW,4,Month-to-month,Fiber optic,94.75,78.4,🔴 High risk
2545-EBUPK,2,Month-to-month,Fiber optic,84.05,78.2,🔴 High risk
2880-FPNAE,2,Month-to-month,Fiber optic,74.2,77.8,🔴 High risk
6630-UJZMY,4,Month-to-month,Fiber optic,83.25,77.6,🔴 High risk
0021-IKXGC,1,Month-to-month,Fiber optic,72.1,77.6,🔴 High risk
3878-AVSOQ,1,Month-to-month,Fiber optic,71.25,77.5,🔴 High risk
9605-WGJVW,1,Month-to-month,Fiber optic,70.2,77.4,🔴 High risk
9603-OAIHC,1,Month-to-month,Fiber optic,70.05,77.4,🔴 High risk
9799-CAYJJ,2,Month-to-month,Fiber optic,69.3,77.4,🔴 High risk
4847-TAJYI,6,Month-to-month,Fiber optic,89.35,76.9,🔴 High risk
0187-QSXOE,7,Month-to-month,Fiber optic,89.0,76.8,🔴 High risk
4395-PZMSN,5,Month-to-month,Fiber optic,85.55,76.7,🔴 High risk
8242-SOQUO,5,Month-to-month,Fiber optic,84.7,76.6,🔴 High risk
4927-WWOOZ,2,Month-to-month,Fiber optic,91.45,76.3,🔴 High risk
7044-YAACC,4,Month-to-month,Fiber optic,70.2,76.3,🔴 High risk
9957-YODKZ,6,Month-to-month,Fiber optic,80.8,76.2,🔴 High risk
1197-BVMVG,4,Month-to-month,Fiber optic,74.45,76.1,🔴 High risk
4115-NZRKS,7,Month-to-month,Fiber optic,89.15,76.0,🔴 High risk
7577-SWIFR,1,Month-to-month,Fiber optic,89.25,76.0,🔴 High risk
0644-OQMDK,4,Month-to-month,Fiber optic,70.65,75.8,🔴 High risk
2123-AGEEN,7,Month-to-month,Fiber optic,84.35,75.7,🔴 High risk
6229-LSCKB,6,Month-to-month,Fiber optic,79.7,75.7,🔴 High risk
2799-ARNLO,5,Month-to-month,Fiber optic,69.35,75.6,🔴 High risk
1628-BIZYP,1,Month-to-month,Fiber optic,85.0,75.5,🔴 High risk
